Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1420022382.617379427;-84.9182586669921875;-92.2327728271484375
1420023381.6183784008;-87.2876129150390625;-92.02342987060546875
1420024380.6193773746;-85.64798736572265625;-87.257843017578125
1420025379.6203763485;-85.22147369384765625;-85.99983978271484375
1420026378.6213753223;-85.265625;-86.20285797119140625
1420027377.6223742962;-84.71141815185546875;-86.630218505859375
1420028376.62337327;-84.31658935546875;-86.57695770263671875
1420029375.6243722439;-84.4486083984375;-85.902496337890625
1420030374.6253712177;-84.457366943359375;-87.12259674072265625
1420031373.6263701916;-83.92220306396484375;-87.498260498046875
1420032372.6273691654;-83.95143890380859375;-87.02704620361328125
1420033371.6283681393;-85.44925689697265625;-89.11161041259765625
1420034370.6293671131;-85.97933197021484375;-92.49332427978515625
1420035369.630366087;-85.9674072265625;-88.82746124267578125
1420036368.6313650608;-86.1179962158203125;-91.8804168701171875
1420037367.6323640347;-88.1277008056640625;-93.83507537841796875
1420038366.6333630085;-92.44881439208984375;-95.17583465576171875
1420039365.6343619823;-88.0022735595703125;-94.316314697265625
1420040364.6353609562;-84.18817138671875;-91.9190216064453125
1420041363.63635993;-82.28966522216796875;-87.13794708251953125
1420042362.6373589039;-82.14935302734375;-85.7366485595703125
1420043361.6383578777;-83.13201904296875;-87.72979736328125
1420044360.6393568516;-85.854034423828125;-89.1616363525390625
1420045359.6403558254;-87.446258544921875;-92.604095458984375
1420046358.6413547993;-84.150848388671875;-87.39870452880859375
1420047357.6423537731;-83.278533935546875;-89.7607879638671875
1420048356.643352747;-83.3460540771484375;-96.41661834716796875
1420049355.6443517208;-84.0096282958984375;-98.645172119140625
1420050354.6453506947;-84.996063232421875;-89.18846893310546875
1420051353.6463496685;-83.1507415771484375;-88.52736663818359375
1420052352.6473486423;-83.6905975341796875;-88.0265655517578125
1420053351.6483476162;-83.1818389892578125;-88.20636749267578125
1420054350.64934659;-81.92723846435546875;-84.09319305419921875
1420055349.6503455639;-81.56055450439453125;-83.84079742431640625
1420056348.6513445377;-81.6295623779296875;-83.24777984619140625
1420057347.6523435116;-82.63372802734375;-84.6855010986328125
1420058346.6533424854;-85.08124542236328125;-90.4296417236328125
1420059345.6543414593;-84.667388916015625;-90.405792236328125
1420060344.6553404331;-81.98211669921875;-91.0314178466796875
1420061343.656339407;-81.00878143310546875;-91.16771697998046875
1420062342.6573383808;-80.99941253662109375;-91.33267974853515625
1420063341.6583373547;-81.86789703369140625;-92.05971527099609375
1420064340.6593363285;-83.00284576416015625;-92.1831512451171875
1420065339.6603353024;-81.9371490478515625;-90.0899810791015625
1420066338.6613342762;-81.660675048828125;-88.142333984375
1420067337.66233325;-81.87699127197265625;-87.04827117919921875
1420068336.6633322239;-82.73773193359375;-86.50637054443359375
1420069335.6643311977;-83.4048004150390625;-84.9363555908203125
1420070334.6653301716;-82.425079345703125;-84.87342071533203125
