Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;10000.000000;Hz
VBW;10000.000000;Hz
SWT;0.000419;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1420017387.6123845577;-107.068695068359375;-107.068695068359375
1420018386.6133835316;-106.551788330078125;-106.551788330078125
1420019385.6143825054;-105.99063873291015625;-105.99063873291015625
1420020384.6153814793;-105.296051025390625;-105.296051025390625
1420021383.6163804531;-104.46556854248046875;-104.46556854248046875
1420022382.617379427;-103.56255340576171875;-103.56255340576171875
1420023381.6183784008;-102.6689453125;-102.6689453125
1420024380.6193773746;-101.8510284423828125;-101.8510284423828125
1420025379.6203763485;-101.15053558349609375;-101.15053558349609375
1420026378.6213753223;-100.58902740478515625;-100.58902740478515625
1420027377.6223742962;-100.1752471923828125;-100.1752471923828125
1420028376.62337327;-99.91089630126953125;-99.91089630126953125
1420029375.6243722439;-99.79410552978515625;-99.79410552978515625
1420030374.6253712177;-99.82125091552734375;-99.82125091552734375
1420031373.6263701916;-99.98744964599609375;-99.98744964599609375
1420032372.6273691654;-100.28603363037109375;-100.28603363037109375
1420033371.6283681393;-100.70772552490234375;-100.70772552490234375
1420034370.6293671131;-101.23932647705078125;-101.23932647705078125
1420035369.630366087;-101.86316680908203125;-101.86316680908203125
1420036368.6313650608;-102.557891845703125;-102.557891845703125
1420037367.6323640347;-103.30272674560546875;-103.30272674560546875
1420038366.6333630085;-104.08611297607421875;-104.08611297607421875
1420039365.6343619823;-104.916534423828125;-104.916534423828125
1420040364.6353609562;-105.8332061767578125;-105.8332061767578125
1420041363.63635993;-106.91162109375;-106.91162109375
1420042362.6373589039;-108.26515960693359375;-108.26515960693359375
1420043361.6383578777;-110.0386505126953125;-110.0386505126953125
1420044360.6393568516;-112.33731842041015625;-112.33731842041015625
1420045359.6403558254;-114.6959075927734375;-114.6959075927734375
1420046358.6413547993;-114.77826690673828125;-114.77826690673828125
1420047357.6423537731;-112.05693817138671875;-112.05693817138671875
1420048356.643352747;-109.10692596435546875;-109.10692596435546875
1420049355.6443517208;-106.7398834228515625;-106.7398834228515625
1420050354.6453506947;-104.9280242919921875;-104.9280242919921875
1420051353.6463496685;-103.55266571044921875;-103.55266571044921875
1420052352.6473486423;-102.511688232421875;-102.511688232421875
1420053351.6483476162;-101.72115325927734375;-101.72115325927734375
1420054350.64934659;-101.10857391357421875;-101.10857391357421875
1420055349.6503455639;-100.6109771728515625;-100.6109771728515625
1420056348.6513445377;-100.17822265625;-100.17822265625
1420057347.6523435116;-99.77884674072265625;-99.77884674072265625
1420058346.6533424854;-99.4033966064453125;-99.4033966064453125
1420059345.6543414593;-99.061614990234375;-99.061614990234375
1420060344.6553404331;-98.7742156982421875;-98.7742156982421875
1420061343.656339407;-98.5634613037109375;-98.5634613037109375
1420062342.6573383808;-98.4458160400390625;-98.4458160400390625
1420063341.6583373547;-98.4280853271484375;-98.4280853271484375
1420064340.6593363285;-98.50601959228515625;-98.50601959228515625
1420065339.6603353024;-98.6643524169921875;-98.6643524169921875
1420066338.6613342762;-98.87835693359375;-98.87835693359375
1420067337.66233325;-99.11699676513671875;-99.11699676513671875
1420068336.6633322239;-99.34862518310546875;-99.34862518310546875
1420069335.6643311977;-99.548583984375;-99.548583984375
1420070334.6653301716;-99.7060546875;-99.7060546875
