Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1419998406.5934040546;-87.6763458251953125;-91.3019561767578125
1419999405.5944030285;-91.52140045166015625;-94.5033111572265625
1420000404.5954020023;-91.87949371337890625;-95.31787109375
1420001403.5964009762;-92.03443145751953125;-95.95049285888671875
1420002402.59739995;-92.54354095458984375;-95.62140655517578125
1420003401.5983989239;-88.38573455810546875;-93.1898345947265625
1420004400.5993978977;-85.5351715087890625;-90.47341156005859375
1420005399.6003968716;-84.59503936767578125;-89.0855255126953125
1420006398.6013958454;-84.69622039794921875;-87.5281524658203125
1420007397.6023948193;-85.2074432373046875;-89.9612884521484375
1420008396.6033937931;-85.78841400146484375;-98.628936767578125
1420009395.604392767;-87.9736328125;-90.8947601318359375
1420010394.6053917408;-87.987945556640625;-91.76554107666015625
1420011393.6063907146;-88.519378662109375;-98.86775970458984375
1420012392.6073896885;-89.2879638671875;-91.75844573974609375
1420013391.6083886623;-87.5564422607421875;-90.6777191162109375
1420014390.6093876362;-84.9621429443359375;-99.08931732177734375
1420015389.61038661;-84.4219818115234375;-92.69153594970703125
1420016388.6113855839;-84.6741485595703125;-87.88901519775390625
1420017387.6123845577;-86.290252685546875;-88.02321624755859375
1420018386.6133835316;-88.33693695068359375;-93.96410369873046875
1420019385.6143825054;-88.82247161865234375;-97.32654571533203125
1420020384.6153814793;-85.65605926513671875;-97.95511627197265625
1420021383.6163804531;-84.4870758056640625;-96.78531646728515625
1420022382.617379427;-83.87244415283203125;-97.57292938232421875
1420023381.6183784008;-83.593902587890625;-96.7349090576171875
1420024380.6193773746;-83.592803955078125;-95.62218475341796875
1420025379.6203763485;-83.86830902099609375;-92.88072967529296875
1420026378.6213753223;-84.7838592529296875;-89.339263916015625
1420027377.6223742962;-87.0349273681640625;-88.73545074462890625
1420028376.62337327;-87.29798126220703125;-94.82735443115234375
1420029375.6243722439;-87.24337005615234375;-94.9998779296875
1420030374.6253712177;-88.09728240966796875;-90.94258880615234375
1420031373.6263701916;-86.40694427490234375;-91.37868499755859375
1420032372.6273691654;-85.6243896484375;-91.461944580078125
1420033371.6283681393;-85.60697174072265625;-89.06728363037109375
1420034370.6293671131;-86.2490081787109375;-89.66495513916015625
1420035369.630366087;-88.03774261474609375;-91.2256927490234375
1420036368.6313650608;-88.925537109375;-91.75801849365234375
1420037367.6323640347;-87.06797027587890625;-92.5173187255859375
1420038366.6333630085;-86.77264404296875;-88.70745086669921875
1420039365.6343619823;-86.61962127685546875;-88.3596038818359375
1420040364.6353609562;-87.2623443603515625;-90.10707855224609375
1420041363.63635993;-87.28406524658203125;-90.22103118896484375
1420042362.6373589039;-86.48484039306640625;-91.0640716552734375
1420043361.6383578777;-86.26934051513671875;-90.80716705322265625
1420044360.6393568516;-85.85321044921875;-88.10674285888671875
1420045359.6403558254;-85.4936981201171875;-91.8365478515625
1420046358.6413547993;-85.96797943115234375;-90.8553619384765625
1420047357.6423537731;-87.686126708984375;-89.18035125732421875
1420048356.643352747;-88.4425506591796875;-90.5555572509765625
1420049355.6443517208;-85.78155517578125;-90.68520355224609375
1420050354.6453506947;-85.3092803955078125;-90.02065277099609375
1420051353.6463496685;-85.84679412841796875;-88.276275634765625
1420052352.6473486423;-85.5023193359375;-89.88006591796875
1420053351.6483476162;-85.39599609375;-90.15171051025390625
1420054350.64934659;-86.2996826171875;-87.8419342041015625
1420055349.6503455639;-86.79981231689453125;-91.84295654296875
1420056348.6513445377;-88.18187713623046875;-92.2280731201171875
1420057347.6523435116;-85.16306304931640625;-89.7253265380859375
1420058346.6533424854;-84.49979400634765625;-88.29372406005859375
1420059345.6543414593;-84.83502960205078125;-87.1150360107421875
1420060344.6553404331;-87.1786346435546875;-90.75081634521484375
1420061343.656339407;-88.48767852783203125;-99.77075958251953125
1420062342.6573383808;-89.87226104736328125;-106.4403533935546875
1420063341.6583373547;-88.78173828125;-100.65435791015625
1420064340.6593363285;-87.18004608154296875;-92.37467193603515625
1420065339.6603353024;-86.08298492431640625;-88.9752044677734375
1420066338.6613342762;-85.63409423828125;-87.63434600830078125
1420067337.66233325;-85.6966400146484375;-88.15621185302734375
1420068336.6633322239;-87.2665557861328125;-90.39809417724609375
1420069335.6643311977;-90.4811553955078125;-95.00461578369140625
