Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420300000.000000;Hz
Freq Offset;0.000000;Hz
Start;1418400000.000000;Hz
Stop;1422200000.000000;Hz
Span;3800000.000000;Hz
Ref Level;1.857600;dBm
Level Offset;0.000000;dB
Rf Att;11.000000;dB
El Att;0.000000;dB
RBW;50000.000000;Hz
VBW;50000.000000;Hz
SWT;0.001010;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;75.000000;%
Level Range;90.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1418876423.5764167309;-84.53987884521484375;-84.53987884521484375
1418880219.7802128792;-85.73740386962890625;-85.73740386962890625
1418884015.9840090275;-86.9948883056640625;-86.9948883056640625
1418887812.1878051758;-87.44271087646484375;-87.44271087646484375
1418891608.3916013241;-86.5690155029296875;-86.5690155029296875
1418895404.5953974724;-85.6621856689453125;-85.6621856689453125
1418899200.7991936207;-85.04795074462890625;-85.04795074462890625
1418902997.002989769;-84.8752593994140625;-84.8752593994140625
1418906793.2067859173;-84.87525177001953125;-84.87525177001953125
1418910589.4105820656;-85.1885986328125;-85.1885986328125
1418914385.6143782139;-85.9282684326171875;-85.9282684326171875
1418918181.8181743622;-87.1712188720703125;-87.1712188720703125
1418921978.0219705105;-88.88950347900390625;-88.88950347900390625
1418925774.2257666588;-91.10346221923828125;-91.10346221923828125
1418929570.4295628071;-93.32646942138671875;-93.32646942138671875
1418933366.6333589554;-93.98409271240234375;-93.98409271240234375
1418937162.8371551037;-92.548095703125;-92.548095703125
1418940959.040951252;-91.3161773681640625;-91.3161773681640625
1418944755.2447474003;-90.494842529296875;-90.494842529296875
1418948551.4485435486;-90.174285888671875;-90.174285888671875
1418952347.6523396969;-90.111572265625;-90.111572265625
1418956143.8561358452;-90.17427825927734375;-90.17427825927734375
1418959940.0599319935;-90.42975616455078125;-90.42975616455078125
1418963736.2637281418;-90.8276519775390625;-90.8276519775390625
1418967532.4675242901;-91.388214111328125;-91.388214111328125
1418971328.6713204384;-92.06537628173828125;-92.06537628173828125
1418975124.8751165867;-93.147308349609375;-93.147308349609375
1418978921.078912735;-94.9100341796875;-94.9100341796875
1418982717.2827088833;-97.40880584716796875;-97.40880584716796875
1418986513.4865050316;-96.71356201171875;-96.71356201171875
1418990309.6903011799;-93.059112548828125;-93.059112548828125
1418994105.8940973282;-90.174224853515625;-90.174224853515625
1418997902.0978934765;-88.11104583740234375;-88.11104583740234375
1419001698.3016896248;-86.69446563720703125;-86.69446563720703125
1419005494.5054857731;-85.77509307861328125;-85.77509307861328125
1419009290.7092819214;-85.2954864501953125;-85.2954864501953125
1419013086.9130780697;-85.11785888671875;-85.11785888671875
1419016883.116874218;-85.15308380126953125;-85.15308380126953125
1419020679.3206703663;-85.40383148193359375;-85.40383148193359375
1419024475.5244665146;-86.00568389892578125;-86.00568389892578125
1419028271.7282626629;-86.951171875;-86.951171875
